slice,pattern_id,cfu_id,ratio,coverage,selected
4,25,57,3.228723404255319,0.010638297872340425,False
4,39,57,3.4101123595505616,0.0056179775280898875,False
5,12,4,7.647058823529412,1.0,False
5,12,48,43.333333333333336,1.0,False
5,12,49,69.33333333333333,1.0,False
5,37,9,7.22093023255814,1.0,False
5,48,13,11.174311926605505,1.0,False
5,48,20,20.64406779661017,1.0,False
5,48,56,22.145454545454545,1.0,False
5,48,89,38.0625,1.0,False
5,92,4,10.389705882352942,1.0,False
5,92,48,58.875,1.0,False
5,92,49,94.2,1.0,False
5,110,3,5.421276595744681,1.0,False
5,110,80,57.90909090909091,1.0,False
5,110,89,39.8125,1.0,False
5,140,3,7.025531914893617,1.0,False
5,140,9,19.197674418604652,1.0,False
5,140,13,15.146788990825687,1.0,False
5,140,45,50.03030303030303,1.0,False
5,140,56,30.01818181818182,1.0,False
5,140,77,137.58333333333334,1.0,False
5,140,80,75.04545454545455,1.0,False
5,151,45,46.57575757575758,1.0,False
5,151,48,64.04166666666667,1.0,False
5,151,57,56.925925925925924,1.0,False
5,165,56,20.527272727272727,1.0,False
5,165,89,35.28125,1.0,False
5,206,4,22.772058823529413,1.0,False
5,206,10,43.013888888888886,1.0,False
5,206,33,68.82222222222222,1.0,False
5,206,48,129.04166666666666,1.0,False
5,206,49,206.46666666666667,1.0,False
5,206,85,77.425,1.0,False
5,206,87,72.02325581395348,1.0,False
5,206,95,48.390625,1.0,False
5,228,3,9.187234042553191,1.0,False
5,228,9,25.1046511627907,1.0,False
5,228,13,19.807339449541285,1.0,False
5,228,20,36.59322033898305,1.0,False
5,228,45,65.42424242424242,1.0,False
5,228,56,39.25454545454546,1.0,False
5,228,57,79.96296296296296,1.0,False
5,228,77,179.91666666666666,1.0,False
5,228,80,98.13636363636364,1.0,False
5,228,89,67.46875,1.0,False
5,229,13,15.55045871559633,1.0,False
5,229,20,28.728813559322035,1.0,False
5,229,56,30.818181818181817,1.0,False
5,229,57,62.77777777777778,1.0,False
5,229,77,141.25,1.0,False
5,229,80,77.04545454545455,1.0,False
5,229,89,52.96875,1.0,False
5,140,89,51.59375,0.96875,False
5,110,56,23.163636363636364,0.9636363636363636,False
5,151,29,30.137254901960784,0.9607843137254902,False
5,228,29,42.333333333333336,0.9607843137254902,False
5,229,3,7.212765957446808,0.9574468085106383,False
5,151,4,11.301470588235293,0.9558823529411765,False
5,151,20,26.050847457627118,0.9491525423728814,False
5,92,10,19.625,0.9444444444444444,False
5,136,95,6.296875,0.9375,False
5,165,13,10.357798165137615,0.9357798165137615,False
5,206,13,28.412844036697248,0.9357798165137615,False
5,42,11,4.868852459016393,0.9344262295081968,False
5,159,49,23.533333333333335,0.9333333333333333,False
5,110,9,14.813953488372093,0.9302325581395349,False
5,110,13,11.688073394495413,0.926605504587156,False
5,48,57,45.111111111111114,0.9259259259259259,False
5,140,29,32.372549019607845,0.9215686274509803,False
5,24,11,4.491803278688525,0.9180327868852459,False
5,206,9,36.01162790697674,0.9069767441860465,False
5,206,25,25.59504132231405,0.8925619834710744,False
5,206,32,103.23333333333333,0.8666666666666667,False
5,109,80,12.409090909090908,0.8636363636363636,False
5,12,87,24.186046511627907,0.8604651162790697,False
5,229,9,19.709302325581394,0.8604651162790697,False
5,165,3,4.804255319148936,0.8553191489361702,False
5,48,9,14.162790697674419,0.8488372093023255,False
5,12,25,8.59504132231405,0.8429752066115702,False
5,165,77,94.08333333333333,0.8333333333333334,False
5,166,56,1.981818181818182,0.8181818181818182,True
5,136,10,5.597222222222222,0.8055555555555556,False
5,151,49,102.46666666666667,0.8,False
5,228,4,15.875,0.7941176470588235,False
5,206,88,23.111940298507463,0.7686567164179104,False
5,311,7,2.389061224489796,0.7645714285714286,True
5,165,9,13.127906976744185,0.7558139534883721,False
5,37,48,25.875,0.75,False
5,110,77,106.16666666666667,0.75,False
5,123,48,22.833333333333332,0.75,False
5,159,48,14.708333333333334,0.75,False
5,48,3,5.182978723404255,0.7319148936170212,False
5,7,75,2.5652173913043477,0.7282608695652174,True
5,206,93,12.9581589958159,0.7280334728033473,False
5,159,4,2.5955882352941178,0.7279411764705882,True
5,165,80,51.31818181818182,0.7272727272727273,False
5,92,29,27.705882352941178,0.7058823529411765,False
5,37,4,4.5661764705882355,0.6911764705882353,False
5,247,77,29.333333333333332,0.6666666666666666,False
5,165,20,19.135593220338983,0.6610169491525424,False
5,166,89,3.40625,0.65625,False
5,33,11,1.5245901639344261,0.6557377049180327,True
5,151,13,14.100917431192661,0.6422018348623854,False
5,151,9,17.872093023255815,0.6395348837209303,False
5,123,45,16.606060606060606,0.6363636363636364,False
5,123,29,10.745098039215685,0.6274509803921569,False
5,73,11,5.245901639344262,0.6065573770491803,False
5,41,11,1.8524590163934427,0.5901639344262295,True
5,123,9,6.372093023255814,0.5813953488372093,False
5,109,3,1.1617021276595745,0.5574468085106383,True
